"Country.Name","Country.Code","tour_arr_2017","tour_arr_2018","sum_2017","sum_2018","cn_arr_2017","cn_arr_2018","201801","201802","sum","hot_travel","gdp_2017","gdp_2018","dense_2017","dense_2018","export","import","20200122","20200123","20200124","20200126","20200202","20200205","20200206","20200207","20200210","20200217","20200219","20200221","20200304","20200307","20200318","20200324","imported_sum","volume","risk"
"Belarus","BLR",11060200,11501600,18180,30680,19154,24745,8,1,9,1,5761.74712023007,6289.93855308212,46.792242075569,46.7287999040892,2476799596.29,377083122.27,0,0,0,0,0,0,0,0,0,0,0,0,6,6,51,81,0,4921,0.0364116937993349
"Belize","BLZ",427000,489000,NA,NA,2784,2731,0,4,4,0,4887.55982047899,4884.74242133376,16.4738711091626,16.7939938623411,108410379.85,2282222.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83,0.000614137489401504
"Bermuda","BMU",270000,282000,NA,NA,24,33,4,0,4,0,NA,NA,1182.85183096194,1184.59257167194,17966652.88,10725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.47984937205182e-05
"Bolivia","BOL",1109000,1142000,NA,NA,7135,7785,0,11,11,0,3351.12405268555,3548.59013979338,10.3321831440967,10.4801458506416,1926537251.48,416009359.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,0,977,0.00722906418247312
"Brazil","BRA",6589000,6621000,61250,56333,105189,118828,146,148,294,0,9880.94654326324,8920.76210462979,24.8660384966033,25.0617162430876,27242015420.92,47768963861.29,0,0,0,0,0,0,0,0,0,0,0,0,4,13,372,2247,0,25733,0.190404819455047
"Barbados","BRB",664000,680000,1052,1585,589,765,NA,NA,NA,NA,17431.6029248899,17949.2815054371,665.658139534884,666.606976744186,48034449,24731383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,25,0.000184981171506477
"Brunei Darussalam","BRN",259000,278000,52391,63694,7604,9081,50,171,221,0,28572.1467776509,31628.3287914349,80.5451612903226,81.3969639468691,656319091.31,310417611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,104,0,6982,0.0516615415783289
"Bhutan","BTN",255000,274000,6421,6878,946,1075,263,140,403,0,3286.57470378318,3243.23112508014,19.5461414400175,19.7775277714448,6111130,164996.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,9,6.65932217423317e-05
"Botswana","BWA",1623000,1623000,3070,NA,2206,2974,NA,NA,NA,NA,7893.21010771116,8258.64166574691,3.89096748010516,3.97742487604327,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627,0.0120385746416415
"Central African Republic","CAF",107000,107000,3015,NA,493,643,NA,NA,NA,NA,449.786423510424,475.721250544318,7.37748884394363,7.49041221227006,12093877,26177818.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,339,0.00250834468562783
"Canada","CAN",20883000,21134000,707251,757205,805026,849941,8355,9855,18210,0,45069.9272544324,46232.9896226967,4.01827985013488,4.07530821431988,47857210829.45,18465947944.78,0,0,0,1,4,5,5,7,7,8,8,9,33,54,657,2790,0,208502,1.54275776885774
"Central Europe and the Baltics","CEB",93474000,100109000,NA,NA,NA,NA,NA,NA,NA,NA,14183.3755478199,15929.004063352,92.9717949202581,92.7664366303472,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","CHE",9889000,10362000,974756,1026160,72096,73931,573,558,1131,1,80450.0458197413,82796.5471631285,213.883991070172,215.521378417094,13052275177.06,25828942904.18,0,0,0,0,0,0,0,0,0,0,0,0,90,268,3028,9877,1,39025,0.288755608721611
"Channel Islands","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851.843467166921,861.106093786457,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile","CHL",6450000,5723000,30774,34583,23594,25521,25,58,83,0,15037.3502805385,15923.3587375381,24.8414839222839,25.1894460666519,15390885227.14,19238815463.32,0,0,0,0,0,0,0,0,0,0,0,0,1,4,238,922,0,4924,0.0364338915399157
"China","CHN",60740000,62900000,NA,NA,NA,NA,284409,278147,562556,0,8759.04157775098,9770.84708783314,147.674050750889,148.348833270666,NA,NA,548,643,920,2075,16630,27440,30587,34110,42354,72434,74619,75550,80386,80770,81102,81591,11,0,0
