,年別,Year,108,108,總計
大洋洲,密克羅尼西亞,Micronesian,0,4,4
歐洲,比利時,Belgium,0,0,0
歐洲,法國,France,5541,6186,11727
歐洲,德國,Germany,4403,4442,8845
歐洲,義大利,Italy,2470,1269,3739
歐洲,荷蘭,Netherlands,4897,4382,9279
歐洲,英國,U.K.,2805,2291,5096
歐洲,西班牙,Spain,1,3,4
歐洲,瑞典,Sweden,0,0,0
歐洲,瑞士,Switzerland,1,3,4
歐洲,挪威,Norway,0,1,1
歐洲,丹麥,Denmark,0,0,0
歐洲,愛爾蘭,Ireland,1,0,1
歐洲,冰島,Iceland,0,0,0
歐洲,葡萄牙,Portugal,0,0,0
歐洲,芬蘭,Finland,0,1,1
歐洲,奧地利,Austria,5066,5085,10151
歐洲,南斯拉夫,Yugoslavia,0,0,0
歐洲,希臘,Greece,0,0,0
歐洲,馬爾他,Malta,0,0,0
歐洲,盧森堡,Luxembourg,0,0,0
歐洲,摩納哥,Monaco,0,0,0
歐洲,安道爾,Andorra,0,0,0
歐洲,列支敦斯登,Liechtenstein,0,0,0
歐洲,白俄羅斯,Belarus,0,0,0
歐洲,烏克蘭,Ukraine,0,0,0
歐洲,教廷,Holy See,0,0,0
歐洲,克羅埃西亞,Croatia,0,0,0
歐洲,波士尼亞,Bosnia,0,0,0
歐洲,愛沙尼亞,Estonia,0,0,0
歐洲,立陶宛,Lithuania,0,0,0
歐洲,拉脫維亞,Latvia,0,0,0
歐洲,馬其頓,Macedonia,0,0,0
歐洲,斯洛凡尼亞,Slovenia,0,0,0
歐洲,斯洛伐克,Slovakia,0,0,0
歐洲,俄羅斯,Russian Federation,1,4,5
歐洲,東德,German Democratic,0,0,0
歐洲,波蘭,Poland,0,0,0
歐洲,捷克,Czech,0,0,0
歐洲,匈牙利,Hungary,0,0,0
歐洲,阿爾巴尼亞,Albania,0,0,0
歐洲,羅馬尼亞,Romania,0,0,0
歐洲,保加利亞,Bulgaria,0,0,0
歐洲,摩爾多瓦,Moldova,0,0,0
歐洲,聖馬利諾,San Marino,0,0,0
其他未列明,其他未列明,Unknow,27,3911,3938
