"","Country.Name","Country.Code","tour_arr_2017","tour_arr_2018","sum_2017","sum_2018","cn_arr_2017","cn_arr_2018","201801","201802","sum","hot_travel","gdp_2017","gdp_2018","dense_2017","dense_2018","export","import","20200122","20200123","20200124","20200126","20200202","20200205","20200206","20200207","20200210","20200217","20200219","20200221","20200304","20200307","20200318","imported_sum","tour_popu_2017","tour_popu_2018","cn_tour_dense","tw_exposed"
"22","Bahamas, The","BHS",1442000,1633000,2937,3502,869,1106,NA,NA,NA,NA,31827.2426989661,32217.871590084,38.137962037962,38.5254745254745,184006773,20993351.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3806,4608,119.609169173322,NA
"23","Bosnia and Herzegovina","BIH",923000,1053000,31780,58235,3536,4037,9,15,24,1,5394.59122017677,6065.67270824158,65.45951171875,64.92048828125,670040748.98,43247418.34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,35316,62272,959.204122591066,0.0250207431710881
"24","Belarus","BLR",11060200,11501600,18180,30680,19154,24745,8,1,9,1,5761.74712023007,6289.93855308212,46.792242075569,46.7287999040892,2476799596.29,377083122.27,0,0,0,0,0,0,0,0,0,0,0,0,6,6,51,0,37334,55425,1186.09936728013,0.00758789714274791
"25","Belize","BLZ",427000,489000,NA,NA,2784,2731,0,4,4,0,4887.55982047899,4884.74242133376,16.4738711091626,16.7939938623411,108410379.85,2282222.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"26","Bermuda","BMU",270000,282000,NA,NA,24,33,4,0,4,0,NA,NA,1182.85183096194,1184.59257167194,17966652.88,10725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"27","Bolivia","BOL",1109000,1142000,NA,NA,7135,7785,0,11,11,0,3351.12405268555,3548.59013979338,10.3321831440967,10.4801458506416,1926537251.48,416009359.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,NA,NA,NA,NA
"28","Brazil","BRA",6589000,6621000,61250,56333,105189,118828,146,148,294,0,9880.94654326324,8920.76210462979,24.8660384966033,25.0617162430876,27242015420.92,47768963861.29,0,0,0,0,0,0,0,0,0,0,0,0,4,13,372,0,166439,175161,6989.18614754934,0.0420649835035639
"29","Barbados","BRB",664000,680000,1052,1585,589,765,NA,NA,NA,NA,17431.6029248899,17949.2815054371,665.658139534884,666.606976744186,48034449,24731383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1641,2350,3.52531563872579,NA
"30","Brunei Darussalam","BRN",259000,278000,52391,63694,7604,9081,50,171,221,0,28572.1467776509,31628.3287914349,80.5451612903226,81.3969639468691,656319091.31,310417611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,59995,72775,894.07511621076,0.247182810474175
"31","Bhutan","BTN",255000,274000,6421,6878,946,1075,263,140,403,0,3286.57470378318,3243.23112508014,19.5461414400175,19.7775277714448,6111130,164996.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7367,7953,402.123060673069,1.00218077353103
"32","Botswana","BWA",1623000,1623000,3070,NA,2206,2974,NA,NA,NA,NA,7893.21010771116,8258.64166574691,3.89096748010516,3.97742487604327,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276,NA,NA,NA
"33","Central African Republic","CAF",107000,107000,3015,NA,493,643,NA,NA,NA,NA,449.786423510424,475.721250544318,7.37748884394363,7.49041221227006,12093877,26177818.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3508,NA,NA,NA
"34","Canada","CAN",20883000,21134000,707251,757205,805026,849941,8355,9855,18210,0,45069.9272544324,46232.9896226967,4.01827985013488,4.07530821431988,47857210829.45,18465947944.78,0,0,0,1,4,5,5,7,7,8,8,9,33,54,657,0,1512277,1607146,394361.828720779,0.0461758686409107
"35","Central Europe and the Baltics","CEB",93474000,100109000,NA,NA,NA,NA,NA,NA,NA,NA,14183.3755478199,15929.004063352,92.9717949202581,92.7664366303472,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"36","Switzerland","CHE",9889000,10362000,974756,1026160,72096,73931,573,558,1131,1,80450.0458197413,82796.5471631285,213.883991070172,215.521378417094,13052275177.06,25828942904.18,0,0,0,0,0,0,0,0,0,0,0,0,90,268,3028,1,1046852,1100091,5104.32425813005,0.221576832270906
"37","Channel Islands","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851.843467166921,861.106093786457,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"38","Chile","CHL",6450000,5723000,30774,34583,23594,25521,25,58,83,0,15037.3502805385,15923.3587375381,24.8414839222839,25.1894460666519,15390885227.14,19238815463.32,0,0,0,0,0,0,0,0,0,0,0,0,1,4,238,0,54368,60104,2386.07867124046,0.0347851062081077
"39","China","CHN",60740000,62900000,NA,NA,NA,NA,284409,278147,562556,0,8759.04157775098,9770.84708783314,147.674050750889,148.348833270666,NA,NA,548,643,920,2075,16630,27440,30587,34110,42354,72434,74619,75550,80386,80770,81102,11,NA,NA,NA,NA
"40","Cote d'Ivoire","CIV",1800000,1965000,NA,NA,7445,10094,7,1,8,0,1557.18281424798,1715.53133212649,76.8473867924528,78.8340534591195,1688329734,148931254.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA
"41","Cameroon","CMR",1081000,1081000,NA,NA,8219,9802,1,1,2,0,1421.58749243688,1533.74213975885,51.9685325040723,53.3439889149796,1119339062.88,435500444.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,NA,NA,NA,NA
"42","Congo, Dem. Rep.","COD",NA,NA,NA,NA,5007,5464,NA,NA,NA,NA,467.07423746489,561.777182390425,35.9051472177499,37.0825923557045,968123323,3268834762.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,NA,NA,NA,NA
"43","Congo, Rep.","COG",149000,156000,6518,6517,13444,17339,1,0,1,0,1702.571349341,2147.76946104594,14.9654524158126,15.3568462664715,390540893.7,3670581291.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19962,23856,1553.4439549665,0.000643730980318222
"44","Colombia","COL",3631000,3904000,14493,15664,40062,40165,21,21,42,0,6375.93206285311,6667.7906995498,44.0748679585399,44.7487021180712,8570845488.8,2049266376.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,0,54555,55829,1247.61160340903,0.0336643230034389
"45","Comoros","COM",28000,35900,NA,NA,1639,1704,NA,NA,NA,NA,1320.54186667961,1415.26362231562,437.341200057394,447.244477540227,64036996,36095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"46","Cabo Verde","CPV",668000,710000,NA,NA,840,873,NA,NA,NA,NA,3292.6457550859,3635.40684982339,133.373945409429,134.929776674938,52914894.96,143117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"47","Costa Rica","CRI",2960000,3017000,13612,15249,7388,7842,42,20,62,0,11752.5434010771,12027.3658826316,96.9438699569134,97.9130630630631,1468897791,785115162.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,21000,23091,235.831657979362,0.262899394132342
"48","Caribbean small states","CSS",6870000,7351483.61650485,NA,NA,NA,NA,NA,NA,NA,NA,9515.00723984743,9991.01614896676,18.0683957021119,18.1770161788317,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"49","Cuba","CUB",4594000,4684000,43322,49781,4595,5849,27,15,42,0,8541.2106734664,8821.81889125004,109.010373005191,108.999596231494,1349976093,382956793.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,47917,55630,510.368863035535,0.0822934215661109
"50","Curacao","CUW",399000,432000,NA,NA,NA,NA,NA,NA,NA,NA,19457.5315232205,19567.8924351055,360.754504504505,360.754504504505,73682457,47172.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"51","Cayman Islands","CYM",418000,463000,250,230,35,33,NA,NA,NA,NA,81124.5134794821,81124.5134794821,264.091666666667,267.391666666667,11492686,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,263,0.98357590301368,NA
"52","Cyprus","CYP",3652000,3939000,8351,9460,3588,3801,32,23,55,0,25760.7627043417,28159.3016999455,127.670995670996,128.708333333333,307730962.7,67991467.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,11939,13261,103.031401748139,0.533817836764446
"53","Czech Republic","CZE",10160000,10611000,489845,617935,34571,33367,170,257,427,1,20379.8960396417,23078.5734865691,137.198109298109,137.602887852888,18653432249.5,2833340226.1,0,0,0,0,0,0,0,0,0,0,0,0,8,19,464,5,524416,651302,4733.20008150055,0.0902138072863022
"54","Germany","DEU",37452000,38881000,1555661,1591555,634053,643074,5820,6077,11897,1,44240.0441099604,47603.0276328757,236.595494618731,237.3709697733,106415862255.71,95110633029.97,0,0,0,0,10,12,12,13,14,16,16,16,262,799,12327,4,2189714,2234629,9414.07873984831,1.263745537802
"55","Djibouti","DJI",NA,NA,NA,NA,1369,1600,NA,NA,NA,NA,2930.70317165342,3082.54309871957,40.7289473684211,41.3684210526316,2164191704,7650.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
"56","Dominica","DMA",72000,63000,652,755,1092,1041,NA,NA,NA,NA,7274.72133332918,7691.34509727878,95.2773333333333,95.5,33722922,700710.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,1796,18.8062827225131,NA
"57","Denmark","DNK",12426000,12749000,103728,109392,70239,70023,110,120,230,1,57141.0598350413,61350.3479093986,137.294117647059,138.067301738509,6102945245.32,4157154655.84,0,0,0,0,0,0,0,0,0,0,0,0,11,24,1116,0,173967,179415,1299.47494983136,0.176994562326768
"58","Dominican Republic","DOM",6188000,6569000,2782,3859,4033,4587,6,5,11,0,7609.34549150864,8050.63160184635,217.618112192093,219.97857586421,2211223052.62,142131961.89,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21,0,6815,8446,38.3946480552434,0.28649826361666
"59","Algeria","DZA",2451000,2657000,39929,47142,26531,26961,21,31,52,1,4044.29837226523,4114.71506136896,17.3777146120063,17.7300750711665,7702756989.3,674946179.39,0,0,0,0,0,0,0,0,0,0,0,0,12,17,74,0,66460,74103,4179.50853014209,0.0124416542339805
"60","East Asia & Pacific (excluding high income)","EAP",172249012.627771,183241430.249313,NA,NA,NA,NA,NA,NA,NA,NA,7084.10673246121,7822.8548040433,129.962337637855,130.810431457567,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"61","Early-demographic dividend","EAR",246442870.180975,275587369.477646,NA,NA,NA,NA,NA,NA,NA,NA,3546.85383658415,3581.89016033881,96.8712264454453,98.13836364042,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"62","East Asia & Pacific","EAS",300522331.533074,320268446.7445,NA,NA,NA,NA,NA,NA,NA,NA,10341.5809526318,11142.5912256168,94.8569852295584,95.4316055341949,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"63","Europe & Central Asia (excluding high income)","ECA",138432257.273286,155252576.801956,NA,NA,NA,NA,NA,NA,NA,NA,7995.38785309146,8163.51710520999,18.3762584657061,18.4773754089394,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"64","Europe & Central Asia","ECS",675130478.961509,712592479.690818,NA,NA,NA,NA,NA,NA,NA,NA,23543.0680217151,25107.2744154631,33.360654942256,33.4968853034031,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"65","Ecuador","ECU",1806000,2535000,30147,26113,11513,14254,13,14,27,0,6213.50127649921,6344.87197850057,67.5848002899018,68.7886817522951,3631587401.56,790167092.69,0,0,0,0,0,0,0,0,0,0,0,0,10,13,111,0,41660,40367,586.826189595546,0.0460102164468989
"66","Egypt, Arab Rep.","EGY",8157000,11196000,287260,234747,83509,85556,1486,977,2463,0,2440.51017311107,2549.13225178609,96.8834125269978,98.8734692852479,8050670487.41,1191907595.07,0,0,0,0,0,0,0,0,0,1,1,1,2,15,196,5,370769,320303,3239.52423552503,0.760296827846026
"67","Euro area","EMU",397086000,413959200,NA,NA,NA,NA,NA,NA,NA,NA,36997.7270415804,39927.6175863294,127.35128601435,127.582277673283,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"68","Eritrea","ERI",NA,NA,NA,NA,836,846,NA,NA,NA,NA,NA,NA,NA,NA,42817852,160750962.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"69","Spain","ESP",81869000,82773000,1324491,1452101.81415796,155564,167988,1010,2249,3259,1,28100.8522848303,30370.8923252247,93.2678044400906,93.5290582615872,28337925349.29,7395235734.19,0,0,0,0,1,1,1,1,2,2,2,2,222,500,13910,7,1480055,1620089.81415796,17321.7804634235,0.188144631372142
"70","Estonia","EST",3244000,3234000,19698,20381,5804,5992,3,10,13,1,20337.8497289442,23266.3462718751,30.3055900621118,30.3861053600184,1422948703.89,280661854.29,0,0,0,0,0,0,0,0,0,0,0,0,2,10,258,0,25502,26373,867.929591092026,0.014978173498663
"71","Ethiopia","ETH",933000,849000,45308,50626,45042,51890,44,49,93,0,768.425025531532,772.313530261357,106.400024,109.224559,2652007625,347073389.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,90350,102516,938.580122809194,0.099085840132272
"72","European Union","EUU",533822000,555887200,NA,NA,NA,NA,NA,NA,NA,NA,33907.9967078218,36569.7338172336,120.837019550161,121.078194096678,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"73","Fragile and conflict affected situations","FCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1673.72900758124,1633.16563964279,38.9777705050052,39.8693125353373,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"74","Finland","FIN",3180000,3224000,209568,202697,57812,57967,145,416,561,1,46191.9311557681,50152.3401411303,18.1244908031983,18.1568556480537,4847871268.21,3960712510.37,0,0,0,0,1,1,1,1,1,1,1,1,6,15,336,0,267380,260664,14356.2302335064,0.039077110834477
"75","Fiji","FJI",843000,870000,48796,49271,4924,5078,23,32,55,0,6101.03083866498,6266.96796528074,48.0273125342091,48.3570333880679,388492157.91,47028847.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53720,54349,1123.91096376501,0.0489362607654922
"76","France","FRA",86758000,89322000,2095320,2175647,493712,499160,5252,5672,10924,1,38679.1271482419,41463.6440227034,122.115405252835,122.338395739199,50807419016.77,22109385815.27,0,0,2,3,6,6,6,6,11,12,12,12,288,957,9105,8,2589032,2674807,21864.0025793877,0.4996340427758
"77","Faroe Islands","FRO",NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,34.6210586582365,34.7399698278226,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"78","Micronesia, Fed. Sts.","FSM",NA,19200,NA,NA,262,228,16,12,28,0,3289.70122265962,3568.29082936098,159.227142857143,160.914285714286,26115001,11246399.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"79","Gabon","GAB",NA,NA,NA,NA,1466,1724,1,0,1,0,7212.53574430676,7952.52589277651,8.01343967089688,8.22476423332169,320956413,2113354391.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
"80","United Kingdom","GBR",37651000,36316000,337127,391380,590714,607846,5554,5974,11528,1,40361.4173832159,42943.9022698053,273.049472988054,274.82739222089,58926873596.62,21898847064.49,0,0,0,0,2,2,2,3,8,9,9,9,86,207,2642,5,927841,999226,3635.8311736149,3.17066427166869
"81","Georgia","GEO",4069400,4757000,18179,55519,11305,11796,NA,NA,NA,NA,4357.01162453036,4717.14302573577,65.2227859617201,65.2752020714511,765129856.02,215821479.75,0,0,0,0,0,0,0,0,0,0,0,0,3,4,38,0,29484,67315,1031.24920128652,NA
"82","Ghana","GHA",NA,NA,NA,NA,22586,22890,11,21,32,0,2025.88585713133,2202.31216442504,127.983963259207,130.821429199262,3437182129.05,1884942552.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,NA,NA,NA,NA
"83","Gibraltar","GIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3372.8,3371.8,3802073,37529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"84","Guinea","GIN",99000,99000,NA,NA,7913,8695,2,2,4,0,855.573639877367,878.599613250501,49.1109352108091,50.5222122741332,1227257924,1331697951.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
"85","Gambia, The","GMB",522000,552000,NA,NA,2188,2616,NA,NA,NA,NA,679.777332561109,716.118488979126,218.764229249012,225.30652173913,397777226,91742266.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
"86","Guinea-Bissau","GNB",NA,NA,NA,NA,630,697,NA,NA,NA,NA,736.725566231783,777.969921802522,65.0123044096728,66.6539473684211,33088287,367486.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"87","Equatorial Guinea","GNQ",NA,NA,NA,NA,1317,1648,NA,NA,NA,NA,9738.43422416926,10261.7600116887,44.9911229946524,46.6657397504456,165266259,1368984569.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,NA,NA,NA,NA
"88","Greece","GRC",27194000,30123000,319268,366053,42198,44949,45,171,216,1,18883.4600669282,20324.2535641478,83.4342823894492,83.2247323506594,3163113090.21,338664738.17,0,0,0,0,0,0,0,0,0,0,0,0,9,46,418,1,361466,411002,4938.45985912316,0.0437383326303581
"89","Grenada","GRD",168000,185000,458,621,2039,2036,NA,NA,NA,NA,10163.6298527725,10640.496760331,326.1,327.805882352941,10518798,10680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,2657,8.10540671487789,NA
"90","Greenland","GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136852235351444,0.136496528200755,2298525,132614307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"91","Guatemala","GTM",1660000,1781000,NA,NA,3651,3587,6,37,43,0,4470.60999392312,4549.01008110721,157.847480403136,160.953779395297,1954591890,101338457.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA
"92","Guam","GUM",1545000,1549000,21954,16339,NA,NA,NA,NA,NA,NA,35615.8046274371,35712.5621350321,304.224074074074,306.977777777778,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"93","Guyana","GUY",247000,287000,NA,NA,1443,1300,NA,NA,NA,NA,4586.05457171312,4979.00218839886,3.93813055626111,3.95734823469647,176787549.03,51186537.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,NA,NA,NA,NA
"94","High income","HIC",834362761.73158,866650998.157859,NA,NA,NA,NA,NA,NA,NA,NA,42375.5925332358,44786.5796621349,34.2698639692726,34.4377658355898,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"95","Hong Kong SAR, China","HKG",27884000,29263000,44445259,51038230,79795890,79368424,141777,134805,276582,0,46225.7818690007,48675.6164599767,7039.71428571429,7096.19047619048,251428354811.45,16853950725.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124241149,130406654,18376.99459133,15.050447918752
"96","Honduras","HND",851000,851000,NA,NA,6184,5580,8,3,11,0,2449.96469108151,2500.11321286023,84.2703816248101,85.6870319063366,1246582250.08,43216378.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,NA,NA,NA,NA
"97","Heavily indebted poor countries (HIPC)","HPC",24097516.6259645,24097516.6259645,NA,NA,NA,NA,NA,NA,NA,NA,994.881641557677,934.613745816671,43.6800362578349,44.8957816454125,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"98","Croatia","HRV",15593000,16645000,159301,233630,23184,22267,13,60,73,1,13412.3419505426,14909.6931860854,73.7049857040743,73.0771979985704,692108772.78,91825133.68,0,0,0,0,0,0,0,0,0,0,0,0,10,12,81,0,182485,255897,3501.73524722453,0.0208468073244143
"99","Haiti","HTI",467000,447000,NA,NA,646,578,6,8,14,0,765.727294324274,868.34202469407,398.489332365747,403.59854862119,531345379,7442907.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"100","Hungary","HUN",15785000,17552000,227225,261298,22495,23619,104,197,301,1,14457.608763614,16161.9805101918,108.118480061858,107.906605545123,5788589206.93,3222025289.07,0,0,0,0,0,0,0,0,0,0,0,0,2,4,58,0,249720,284917,2640.40369503475,0.11399771957827
"101","IBRD only","IBD",492359594.104451,531740974.719403,NA,NA,NA,NA,NA,NA,NA,NA,6055.69450939356,6385.46162560212,68.192583963153,68.7859051970979,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"102","IDA & IBRD total","IBT",561797590.954269,610304931.035529,NA,NA,NA,NA,NA,NA,NA,NA,4863.83023150558,5098.525112462,67.870329440419,68.7084518843392,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
